No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Price	JLCPCB Stock	LCSC Stock	Primary Category	Secondary Category	Datasheet	JLCPCB Price	Unique ID	Add into BOM	Name	Device	Symbol
1	24	100nF	C1,C8,C14,C15,C19,C20,C21,C32MCU,C42,C48,C50,C52,C67,C70,C76,C80,C84,C85,C86,C98,C99,C102,C103,C104	C0402	100nF	CC0402KRX7R7BB104	YAGEO(国巨)	C60474	LCSC		15050873				https://atta.szlcsc.com/upload/public/pdf/source/20211223/9278FD768280B81DDBEF48FA36411A03.pdf	0.0002	gge6,gge7,gge7_1,gge9,gge11,gge18,gge20,gge25,gge27,gge29,gge73,gge73_1,gge73_2,gge73_3,gge91,gge102,gge134,gge139,gge139_1,gge171,gge172,gge176,gge177,gge178	yes	100nF	CC0402KRX7R7BB104	CAP
2	6	22pF	C2,C7,C12,C17,C72,C77	C0603	22pF	CC0603JRNPO9BN220	YAGEO(国巨)	C105620	LCSC		2594345				https://item.szlcsc.com/datasheet/CC0603JRNPO9BN220/106835.html	0.0004	gge3,gge4,gge17,gge23,gge140,gge140_1	yes	22pF	CC0603JRNPO9BN220	CAP
3	6	4.7uF	C3,C4,C46,C79,C100,C101	C0603	4.7uF	CL10A475KP8NNNC	SAMSUNG(三星)	C1705	LCSC		6396993				https://item.szlcsc.com/datasheet/CL10A475KP8NNNC/2057.html	0.001	gge5,gge81,gge83,gge140_2,gge171_1,gge171_2	yes	4.7uF	CL10A475KP8NNNC	CAP
4	3	1uF	C9,C43,C47	C0603	1uF	CL10B105KB8NQNC	SAMSUNG(三星)	C5199872	LCSC		1626808				https://item.szlcsc.com/datasheet/CL10B105KB8NQNC/5885909.html	0.0014	gge12,gge74,gge82	yes	1uF	CL10B105KB8NQNC	CAP
5	2	2.2uF	C10,C49	C0603	2.2uF	CL10A225KO8NNNC	SAMSUNG(三星)	C23630	LCSC		3392357				https://item.szlcsc.com/datasheet/CL10A225KO8NNNC/24366.html	0.0011	gge13,gge84	yes	2.2uF	CL10A225KO8NNNC	CAP
6	2	10nF	C11,C16	C0603	10nF	FCC0603B103K500CT	FOJAN(富捷)	C5137477	LCSC		10581060				https://item.szlcsc.com/datasheet/FCC0603B103K500CT/5746979.html	0.0004	gge16,gge22	yes	10nF	FCC0603B103K500CT	CAP
7	2	10uF	C13,C18	C0603	10uF	CL10A106MQ8NNNC	SAMSUNG(三星)	C1691	LCSC		5270207				https://item.szlcsc.com/datasheet/CL10A106MQ8NNNC/2043.html	0.0013	gge24,gge36	yes	10uF	CL10A106MQ8NNNC	CAP
8	1	1uF	C44	C0402	1uF	V105K0402X7R6R3NNT	VIIYONG(微容)	C5240378	LCSC		0		Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	https://item.szlcsc.com/datasheet/V105K0402X7R6R3NNT/5944237.html	0.001	gge75	yes	1uF	V105K0402X7R6R3NNT	V105K0402X7R6R3NNT
9	2	100nF	C51,C53	C1206	100nF	CGA1206M3L104J101MT	HRE(芯声)	C22440581	LCSC		2581		Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	https://item.szlcsc.com/datasheet/CGA1206M3L104J101MT/24087515.html	0.0068	gge94,gge107	yes	100nF	CGA1206M3L104J101MT	CGA1206M3L104J101MT
10	2	22uF	C74,C78	C0603	22uF	CL10A226MQ8NRNC	SAMSUNG(三星)	C59461	LCSC		14359811				https://item.szlcsc.com/datasheet/CL10A226MQ8NRNC/60514.html	0.0015	gge147,gge147_1	yes	22uF	CL10A226MQ8NRNC	CAP
11	1	4.7uF	C81	CAP-SMD_L3.5-W2.8-FD	4.7uF	CA45-B-35V-4.7UF-K	CEC(振华新云)	C2764875	LCSC		4052		Capacitors	Tantalum Capacitors	https://item.szlcsc.com/datasheet/CA45-B-35V-4.7UF-K/2899509.html	0.0358	gge160	yes	4.7uF	CA45-B-35V-4.7UF-K	CA45-B-35V-4.7UF-K
12	2	330uF	C82,C83	CAP-TH_BD8.0-P3.50-D0.6-FD	330uF	ERS1EM331F12OT	AISHI(艾华集团)	C383041	LCSC		17996				https://atta.szlcsc.com/upload/public/pdf/source/20191015/C438940_4B8E60A742BB0AE40DDEF87A5C89089D.pdf	0.0064	gge161,gge162	yes	330uF	ERS1EM331F12OT	CA45-B-35V-4.7UF-K
13	1	100nF	C87	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC		43025082				https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html	0.0005	gge163	yes	100nF	CC0603KRX7R9BB104	CA45-B-35V-4.7UF-K
14	7	1uF	C88,C90,C92,C94,C95,C96,C97	C0603	1uF	CL10B105KA8NNNC	SAMSUNG(三星)	C29936	LCSC		3449065				https://item.szlcsc.com/datasheet/CL10B105KA8NNNC/30690.html	0.0011	gge160_2,gge164,gge164_1,gge166,gge166_1,gge166_2,gge166_3	yes	1uF	CL10B105KA8NNNC	CA45-B-35V-4.7UF-K
15	2	220uF	C91,C93	CAP-TH_BD8.0-P3.50-D0.6-FD	220uF	ERS1EM221F12OT	AISHI(艾华集团)	C160162	LCSC		60318				https://atta.szlcsc.com/upload/public/pdf/source/20191015/C438940_4B8E60A742BB0AE40DDEF87A5C89089D.pdf	0.0062	gge160_1,gge160_3	yes	220uF	ERS1EM221F12OT	CA45-B-35V-4.7UF-K
16	5	B250AF-13	D1,D2,D7,D8,D9	DO-214AC_L4.3-W2.7-LS5.3-RD		B250AF-13	DIODES(美台)	C17389395	LCSC		0		Diodes	Schottky Diodes	https://item.szlcsc.com/datasheet/B250AF-13/18518568.html	0.0325	gge41,gge56,gge56_1,gge56_2,gge56_3	yes	B250AF-13	B250AF-13	B250AF-13
17	2	BAV99	D5,D6	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		BAV99	baocheng(宝乘)	C51898307	LCSC		17116		Diodes	Switching Diodes	https://item.szlcsc.com/datasheet/BAV99/54583732.html	0.0016	gge92,gge106	yes	BAV99	BAV99_C51898307	BAV99_C51898307
